cufe;qr
FE03200000370650-1-420274-0200002024040100000019290010110000795179;https://dgi-fep.mef.gob.pa/Consultas/FacturasPorCUFE?CUFE=FE03200000370650-1-420274-0200002024040100000019290010110000795179
FE01200000370650-1-420274-0200002024040100000019280010110000795164;https://dgi-fep.mef.gob.pa/Consultas/FacturasPorCUFE?CUFE=FE01200000370650-1-420274-0200002024040100000019280010110000795164
FE01200000370650-1-420274-0200002024040100000019270010110000795157;https://dgi-fep.mef.gob.pa/Consultas/FacturasPorCUFE?CUFE=FE01200000370650-1-420274-0200002024040100000019270010110000795157
FE01200000370650-1-420274-0200002024040100000019260010110000795141;https://dgi-fep.mef.gob.pa/Consultas/FacturasPorCUFE?CUFE=FE01200000370650-1-420274-0200002024040100000019260010110000795141
FE01200000370650-1-420274-0200002024040100000019250010110000795134;https://dgi-fep.mef.gob.pa/Consultas/FacturasPorCUFE?CUFE=FE01200000370650-1-420274-0200002024040100000019250010110000795134
FE01200000370650-1-420274-0200002024040100000019200010110000795089;https://dgi-fep.mef.gob.pa/Consultas/FacturasPorCUFE?CUFE=FE01200000370650-1-420274-0200002024040100000019200010110000795089
FE01200000370650-1-420274-0200002024040100000019210010110000795096;https://dgi-fep.mef.gob.pa/Consultas/FacturasPorCUFE?CUFE=FE01200000370650-1-420274-0200002024040100000019210010110000795096
FE01200000370650-1-420274-0200002024040100000019220010110000795103;https://dgi-fep.mef.gob.pa/Consultas/FacturasPorCUFE?CUFE=FE01200000370650-1-420274-0200002024040100000019220010110000795103
FE01200000370650-1-420274-0200002024040100000019230010110000795110;https://dgi-fep.mef.gob.pa/Consultas/FacturasPorCUFE?CUFE=FE01200000370650-1-420274-0200002024040100000019230010110000795110
FE01200000370650-1-420274-0200002024040100000019240010110000795127;https://dgi-fep.mef.gob.pa/Consultas/FacturasPorCUFE?CUFE=FE01200000370650-1-420274-0200002024040100000019240010110000795127
FE03200000370650-1-420274-0200002024040100000019300010110000795184;https://dgi-fep.mef.gob.pa/Consultas/FacturasPorCUFE?CUFE=FE03200000370650-1-420274-0200002024040100000019300010110000795184
FE03200000370650-1-420274-0200002024040100000019330010110000795215;https://dgi-fep.mef.gob.pa/Consultas/FacturasPorCUFE?CUFE=FE03200000370650-1-420274-0200002024040100000019330010110000795215
FE03200000370650-1-420274-0200002024040100000019340010110000795222;https://dgi-fep.mef.gob.pa/Consultas/FacturasPorCUFE?CUFE=FE03200000370650-1-420274-0200002024040100000019340010110000795222
FE03200000370650-1-420274-0200002024040100000019360010110000795246;https://dgi-fep.mef.gob.pa/Consultas/FacturasPorCUFE?CUFE=FE03200000370650-1-420274-0200002024040100000019360010110000795246
FE01200000370650-1-420274-0200002024040100000019350010110000795231;https://dgi-fep.mef.gob.pa/Consultas/FacturasPorCUFE?CUFE=FE01200000370650-1-420274-0200002024040100000019350010110000795231
FE01200000370650-1-420274-0200002024040100000019370010110000795254;https://dgi-fep.mef.gob.pa/Consultas/FacturasPorCUFE?CUFE=FE01200000370650-1-420274-0200002024040100000019370010110000795254
